ID,NAME,COST,PRICE,RSP,STOCK,MARGIN,PROFIT,PRODUCT_GROUP_ID,PRODUCT_GROUP_NAME,PRODUCT_DISCOUNT_GROUP,PRODUCT_DISCOUNT_GROUP_PERCENTAGE,SEASON
363,Product 363,27.73,32.31,39.49,197,0.1419,4.47,28,Product Group 28,DG-03,0.03,S-4
704,Product 704,27.82,34.36,38.99,193,0.1905,6.38,36,Product Group 36,DG-07,0.07,S-4
757,Product 757,36.03,40.51,50.99,181,0.1107,4.37,16,Product Group 16,DG-04,0.04,S-4
670,Product 670,15.44,19.99,22.99,221,0.2278,4.44,34,Product Group 34,DG-04,0.04,S-4
482,Product 482,6.16,8.2,10.49,244,0.2478,1.98,40,Product Group 40,DG-09,0.09,S-4
558,Product 558,22.69,26.15,31.49,209,0.1322,3.37,25,Product Group 25,DG-08,0.08,S-4
173,Product 173,6.18,7.68,8.99,245,0.1949,1.46,21,Product Group 21,DG-00,0.0,S-4
261,Product 261,6.28,7.68,9.49,245,0.1829,1.37,6,Product Group 6,DG-00,0.0,S-4
865,Product 865,18.46,23.58,25.49,214,0.2171,4.99,23,Product Group 23,DG-05,0.05,S-4
999,Product 999,38.06,49.75,57.49,163,0.2347,11.38,40,Product Group 40,DG-09,0.09,S-4
374,Product 374,14.42,17.95,20.49,225,0.1961,3.43,43,Product Group 43,DG-00,0.0,S-4
788,Product 788,6.16,7.68,9.99,245,0.1976,1.48,33,Product Group 33,DG-04,0.04,S-4
454,Product 454,21.66,28.2,32.49,205,0.2317,6.37,21,Product Group 21,DG-00,0.0,S-4
235,Product 235,17.56,22.05,24.99,217,0.2038,4.38,28,Product Group 28,DG-03,0.03,S-4
67,Product 67,50.31,65.14,77.99,133,0.2276,14.45,15,Product Group 15,DG-09,0.09,S-4
327,Product 327,45.21,52.82,66.99,157,0.1439,7.41,30,Product Group 30,DG-02,0.02,S-4
20,Product 20,36.01,43.08,53.49,176,0.1641,6.89,23,Product Group 23,DG-05,0.05,S-4
0,Product 0,45.13,56.93,64.99,149,0.2071,11.49,18,Product Group 18,DG-02,0.02,S-4
943,Product 943,8.28,10.77,12.49,239,0.2307,2.42,34,Product Group 34,DG-04,0.04,S-4
243,Product 243,47.2,54.36,65.49,154,0.1317,6.98,13,Product Group 13,DG-05,0.05,S-4
434,Product 434,29.81,33.84,37.49,194,0.1191,3.93,17,Product Group 17,DG-09,0.09,S-4
978,Product 978,36.93,48.2,57.49,166,0.2339,10.99,7,Product Group 7,DG-01,0.01,S-4
727,Product 727,13.35,15.88,18.49,229,0.1601,2.48,41,Product Group 41,DG-01,0.01,S-4
478,Product 478,29.77,36.92,45.99,188,0.1937,6.97,21,Product Group 21,DG-00,0.0,S-4
175,Product 175,44.2,53.85,62.49,155,0.1793,9.41,1,Product Group 1,DG-06,0.06,S-4
118,Product 118,38.0,47.18,56.99,168,0.1944,8.94,37,Product Group 37,DG-03,0.03,S-4
180,Product 180,12.41,14.87,16.49,231,0.1649,2.39,6,Product Group 6,DG-00,0.0,S-4
291,Product 291,49.27,55.9,67.99,151,0.1186,6.46,24,Product Group 24,DG-00,0.0,S-4
834,Product 834,39.0,47.69,58.99,167,0.1824,8.48,26,Product Group 26,DG-06,0.06,S-4
394,Product 394,47.25,53.85,63.99,155,0.1227,6.44,38,Product Group 38,DG-07,0.07,S-4
829,Product 829,18.6,23.06,29.99,215,0.1939,4.36,32,Product Group 32,DG-08,0.08,S-4
770,Product 770,21.63,27.69,31.49,206,0.2186,5.9,15,Product Group 15,DG-09,0.09,S-4
306,Product 306,43.16,51.29,64.49,160,0.1584,7.92,10,Product Group 10,DG-01,0.01,S-4
913,Product 913,38.06,47.69,59.99,167,0.2018,9.38,18,Product Group 18,DG-02,0.02,S-4
828,Product 828,33.91,41.02,46.99,180,0.1733,6.93,14,Product Group 14,DG-03,0.03,S-4
26,Product 26,15.4,18.97,21.99,223,0.1882,3.48,23,Product Group 23,DG-05,0.05,S-4
33,Product 33,22.69,26.15,29.99,209,0.1322,3.37,21,Product Group 21,DG-00,0.0,S-4
186,Product 186,44.21,53.34,61.99,156,0.1712,8.9,46,Product Group 46,DG-05,0.05,S-4
587,Product 587,38.02,46.16,58.49,170,0.176,7.92,32,Product Group 32,DG-08,0.08,S-4
139,Product 139,43.16,56.41,62.99,150,0.235,12.92,24,Product Group 24,DG-00,0.0,S-4
145,Product 145,20.55,27.17,33.99,207,0.2442,6.47,5,Product Group 5,DG-08,0.08,S-4
19,Product 19,33.92,40.0,46.49,182,0.1518,5.92,1,Product Group 1,DG-06,0.06,S-4
364,Product 364,10.33,12.81,15.99,235,0.1938,2.42,11,Product Group 11,DG-02,0.02,S-4
682,Product 682,41.07,49.75,56.99,163,0.1743,8.45,11,Product Group 11,DG-02,0.02,S-4
851,Product 851,6.23,8.2,10.49,244,0.2403,1.92,23,Product Group 23,DG-05,0.05,S-4
588,Product 588,10.27,13.33,17.99,234,0.2294,2.98,25,Product Group 25,DG-08,0.08,S-4
726,Product 726,47.27,57.95,71.99,147,0.1845,10.42,19,Product Group 19,DG-07,0.07,S-4
347,Product 347,5.2,6.66,8.49,247,0.2188,1.42,23,Product Group 23,DG-05,0.05,S-4
104,Product 104,22.59,29.23,32.49,203,0.2271,6.47,37,Product Group 37,DG-03,0.03,S-4
521,Product 521,41.04,53.34,62.49,156,0.2304,11.98,24,Product Group 24,DG-00,0.0,S-4
781,Product 781,49.28,57.95,63.99,147,0.1496,8.45,16,Product Group 16,DG-04,0.04,S-4
534,Product 534,39.01,44.11,49.99,174,0.1156,4.97,11,Product Group 11,DG-02,0.02,S-4
99,Product 99,23.61,30.76,35.99,200,0.2324,6.97,38,Product Group 38,DG-07,0.07,S-4
27,Product 27,42.13,53.85,58.49,155,0.2176,11.42,23,Product Group 23,DG-05,0.05,S-4
803,Product 803,20.58,25.13,30.49,211,0.1813,4.44,30,Product Group 30,DG-02,0.02,S-4
226,Product 226,43.21,51.79,57.99,159,0.1658,8.37,0,Product Group 0,DG-07,0.07,S-4
142,Product 142,32.85,40.0,43.99,182,0.1785,6.96,17,Product Group 17,DG-09,0.09,S-4
418,Product 418,34.98,39.49,47.49,183,0.1143,4.4,46,Product Group 46,DG-05,0.05,S-4
880,Product 880,23.63,29.74,36.99,202,0.2052,5.95,17,Product Group 17,DG-09,0.09,S-4
733,Product 733,45.14,52.82,57.49,157,0.1453,7.48,1,Product Group 1,DG-06,0.06,S-4
46,Product 46,45.15,55.9,66.99,151,0.1921,10.47,36,Product Group 36,DG-07,0.07,S-4
319,Product 319,21.64,27.69,35.99,206,0.2182,5.89,9,Product Group 9,DG-02,0.02,S-4
484,Product 484,36.99,42.56,46.99,177,0.1309,5.43,31,Product Group 31,DG-02,0.02,S-4
546,Product 546,24.65,31.8,36.99,198,0.2249,6.97,3,Product Group 3,DG-08,0.08,S-4
410,Product 410,21.65,25.13,27.99,211,0.138,3.38,28,Product Group 28,DG-03,0.03,S-4
391,Product 391,17.56,22.05,27.49,217,0.2038,4.38,6,Product Group 6,DG-00,0.0,S-4
742,Product 742,39.07,44.11,47.99,174,0.1142,4.91,2,Product Group 2,DG-04,0.04,S-4
994,Product 994,43.09,52.82,62.99,157,0.1843,9.49,7,Product Group 7,DG-01,0.01,S-4
939,Product 939,15.51,20.51,26.49,220,0.2436,4.87,24,Product Group 24,DG-00,0.0,S-4
166,Product 166,17.5,22.56,28.49,216,0.2246,4.94,12,Product Group 12,DG-05,0.05,S-4
613,Product 613,10.35,13.33,15.49,234,0.2232,2.9,3,Product Group 3,DG-08,0.08,S-4
