ID,NAME,COST,PRICE,RSP,STOCK,MARGIN,PROFIT,PRODUCT_GROUP_ID,PRODUCT_GROUP_NAME,PRODUCT_DISCOUNT_GROUP,PRODUCT_DISCOUNT_GROUP_PERCENTAGE,SEASON
363,Product 363,27.1,31.58,39.49,197,0.1419,4.47,28,Product Group 28,DG-03,0.03,S-2
704,Product 704,27.19,33.58,38.99,193,0.1905,6.38,36,Product Group 36,DG-07,0.07,S-2
757,Product 757,35.22,39.6,50.99,181,0.1107,4.37,16,Product Group 16,DG-04,0.04,S-2
670,Product 670,15.09,19.54,22.99,221,0.2278,4.44,34,Product Group 34,DG-04,0.04,S-2
482,Product 482,6.03,8.01,10.49,244,0.2478,1.98,40,Product Group 40,DG-09,0.09,S-2
558,Product 558,22.18,25.56,31.49,209,0.1322,3.37,25,Product Group 25,DG-08,0.08,S-2
173,Product 173,6.05,7.51,8.99,245,0.1949,1.46,21,Product Group 21,DG-00,0.0,S-2
261,Product 261,6.14,7.51,9.49,245,0.1829,1.37,6,Product Group 6,DG-00,0.0,S-2
865,Product 865,18.05,23.05,25.49,214,0.2171,4.99,23,Product Group 23,DG-05,0.05,S-2
999,Product 999,37.21,48.63,57.49,163,0.2347,11.38,40,Product Group 40,DG-09,0.09,S-2
374,Product 374,14.1,17.54,20.49,225,0.1961,3.43,43,Product Group 43,DG-00,0.0,S-2
788,Product 788,6.03,7.51,9.99,245,0.1976,1.48,33,Product Group 33,DG-04,0.04,S-2
454,Product 454,21.18,27.57,32.49,205,0.2317,6.37,21,Product Group 21,DG-00,0.0,S-2
235,Product 235,17.16,21.55,24.99,217,0.2038,4.38,28,Product Group 28,DG-03,0.03,S-2
67,Product 67,49.18,63.67,77.99,133,0.2276,14.45,15,Product Group 15,DG-09,0.09,S-2
327,Product 327,44.2,51.63,66.99,157,0.1439,7.41,30,Product Group 30,DG-02,0.02,S-2
20,Product 20,35.2,42.11,53.49,176,0.1641,6.89,23,Product Group 23,DG-05,0.05,S-2
0,Product 0,44.12,55.65,64.99,149,0.2071,11.49,18,Product Group 18,DG-02,0.02,S-2
943,Product 943,8.09,10.52,12.49,239,0.2307,2.42,34,Product Group 34,DG-04,0.04,S-2
243,Product 243,46.14,53.14,65.49,154,0.1317,6.98,13,Product Group 13,DG-05,0.05,S-2
434,Product 434,29.14,33.08,37.49,194,0.1191,3.93,17,Product Group 17,DG-09,0.09,S-2
978,Product 978,36.1,47.12,57.49,166,0.2339,10.99,7,Product Group 7,DG-01,0.01,S-2
727,Product 727,13.05,15.53,18.49,229,0.1601,2.48,41,Product Group 41,DG-01,0.01,S-2
478,Product 478,29.1,36.09,45.99,188,0.1937,6.97,21,Product Group 21,DG-00,0.0,S-2
175,Product 175,43.2,52.64,62.49,155,0.1793,9.41,1,Product Group 1,DG-06,0.06,S-2
118,Product 118,37.15,46.12,56.99,168,0.1944,8.94,37,Product Group 37,DG-03,0.03,S-2
